county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Stockholms län,Huddinge,"Botkyrka,Nacka,Stockholm,Tyresö,Haninge",Malmö,0126,Pendlingskommuner,Huddinge kommun
Västernorrlands län,Ånge,"Berg,Härjedalen,Ljusdal,Nordanstig,Hudiksvall,Bräcke,Sundsvall",Stockholm,2260,Förortskommuner till storstäderna,Ånge kommun
Kronobergs län,Växjö,"Lessebo,Uppvidinge,Vetlanda,Tingsryd,Alvesta,Sävsjö",Övertorneå,0780,Glesbygdkommuner,Växjö kommun
Skåne län,Vellinge,"Trelleborg,Malmö,Svedala",Pajala,1233,Glesbygdkommuner,Vellinge kommun
Värmlands län,Grums,"Säffle,Arvika,Kil,Karlstad",Växjö,1764,Varuproducerande kommuner,Grums kommun
Västra Götalands län,Tanum,"Munkedal,Sotenäs,Strömstad,Dals-Ed",Gävle,1435,Varuproducerande kommuner,Tanums kommun
Dalarnas län,Hedemora,"Smedjebacken,Norberg,Hofors,Avesta,Falun,Säter",Västervik,2083,Kommuner i tätbefolkad region,Hedemora kommun
Västra Götalands län,Vara,"Skara,Herrljunga,Essunga,Grästorp,Lidköping,Falköping",Umeå,1470,Större städer,Vara kommun
Skåne län,Lund,"Trelleborg,Eslöv,Kävlinge,Lomma,Staffanstorp,Svedala,Sjöbo,Skurup",Bengtsfors,1281,Glesbygdkommuner,Lunds kommun
Örebro län,Hällefors,"Storfors,Ludvika,Karlskoga,Nora,Filipstad,Lindesberg,Ljusnarsberg",Ljungby,1863,Varuproducerande kommuner,Hällefors kommun
Västerbottens län,Åsele,"Bjurholm,Lycksele,Örnsköldsvik,Vilhelmina,Dorotea,Sollefteå",Stockholm,2463,Större städer,Åsele kommun
Stockholms län,Botkyrka,"Södertälje,Nynäshamn,Salem,Ekerö,Huddinge,Haninge",Stockholm,0127,Turism- och besöksnäringskommuner,Botkyrka kommun
Värmlands län,Forshaga,"Sunne,Munkfors,Kil,Karlstad,Hagfors",Jönköping,1763,Pendlingskommuner,Forshaga kommun
Skåne län,Höör,"Eslöv,Hässleholm,Hörby,Klippan",Blekinge,1267,Kommuner i tätbefolkad region,Höörs kommun
Västmanlands län,Fagersta,"Smedjebacken,Norberg,Skinnskatteberg,Sala,Surahammar",Östergötland,1982,Större städer,Fagersta kommun
Västra Götalands län,Ulricehamn,"Borås,Herrljunga,Tranemo,Falköping,Mullsjö,Jönköping",Östersund,1491,Större städer,Ulricehamns kommun
Västerbottens län,Dorotea,"Vilhelmina,Åsele,Strömsund,Sollefteå",Stockholm,2425,Pendlingskommuner,Dorotea kommun
Skåne län,Staffanstorp,"Lomma,Burlöv,Lund,Malmö,Svedala",Mora,1230,Pendlingskommuner,Staffanstorps kommun
Västernorrlands län,Härnösand,"Timrå,Sundsvall,Kramfors,Sollefteå",Kalmar,2280,Varuproducerande kommuner,Härnösands kommun
Norrbottens län,Kiruna,"Gällivare,Pajala",Malmö,2584,Pendlingskommuner,Kiruna kommun
Västra Götalands län,Uddevalla,"Munkedal,Stenungsund,Lysekil,Orust,Färgelanda,Vänersborg,Trollhättan,Lilla Edet",Härjedalen,1485,Turism- och besöksnäringskommuner,Uddevalla kommun
Uppsala län,Håbo,"Upplands-Bro,Knivsta,Sigtuna,Uppsala,Enköping",Växjö,0305,Pendlingskommuner,Håbo kommun
Jönköpings län,Eksjö,"Vetlanda,Hultsfred,Vimmerby,Ydre,Aneby,Nässjö",Tranås,0686,Pendlingskommuner,Eksjö kommun
Östergötlands län,Ödeshög,"Mjölby,Boxholm,Tranås,Vadstena,Jönköping",Lidköping,0509,Kommuner i tätbefolkad region,Ödeshögs kommun
Jämtlands län,Strömsund,"Krokom,Östersund,Vilhelmina,Dorotea,Sollefteå,Ragunda",Avesta,2313,Kommuner i tätbefolkad region,Strömsunds kommun
Västra Götalands län,Lerum,"Göteborg,Partille,Bollebygd,Härryda,Alingsås,Ale",Halmstad,1441,Kommuner i tätbefolkad region,Lerums kommun
Jämtlands län,Härjedalen,"Orsa,Berg,Älvdalen,Mora,Ånge,Ljusdal",Oskarshamn,2361,Varuproducerande kommuner,Härjedalens kommun
Östergötlands län,Ydre,"Eksjö,Vimmerby,Boxholm,Kinda,Tranås,Aneby",Haparanda,0512,Kommuner i glesbefolkad region,Ydre kommun
Blekinge län,Karlskrona,"Ronneby,Emmaboda,Torsås",Malmö,1080,Förortskommuner till större städer,Karlskrona kommun
Västra Götalands län,Tjörn,Orust,Sundsvall,1419,Kommuner i glesbefolkad region,Tjörns kommun
Skåne län,Burlöv,"Lomma,Staffanstorp,Malmö,Svedala",Nyköping,1231,Varuproducerande kommuner,Burlövs kommun
Södermanlands län,Oxelösund,Nyköping,Karlstad,0481,Större städer,Oxelösunds kommun
Östergötlands län,Norrköping,"Söderköping,Finspång,Linköping,Katrineholm,Nyköping",Trollhättan,0581,Större städer,Norrköpings kommun
Gävleborgs län,Gävle,"Heby,Älvkarleby,Tierp,Ockelbo,Sandviken,Söderhamn",Jönköping,2180,Varuproducerande kommuner,Gävle kommun
Skåne län,Sjöbo,"Eslöv,Lund,Ystad,Tomelilla,Hörby,Skurup",Örebro,1265,Varuproducerande kommuner,Sjöbo kommun
Skåne län,Ystad,"Simrishamn,Tomelilla,Sjöbo,Skurup",Kiruna,1286,Kommuner i glesbefolkad region,Ystads kommun
Västernorrlands län,Örnsköldsvik,"Nordmaling,Bjurholm,Kramfors,Åsele,Sollefteå",Skövde,2284,Varuproducerande kommuner,Örnsköldsviks kommun
Västernorrlands län,Kramfors,"Härnösand,Örnsköldsvik,Sollefteå",Malmö,2282,Större städer,Kramfors kommun
Östergötlands län,Boxholm,"Mjölby,Linköping,Kinda,Ydre,Tranås,Ödeshög",Eskilstuna,0560,Pendlingskommuner,Boxholms kommun
Norrbottens län,Arjeplog,"Arvidsjaur,Sorsele,Jokkmokk",Stockholm,2506,Förortskommuner till storstäderna,Arjeplogs kommun
Östergötlands län,Kinda,"Vimmerby,Västervik,Åtvidaberg,Linköping,Boxholm,Ydre",Malmö,0513,Varuproducerande kommuner,Kinda kommun
Södermanlands län,Flen,"Strängnäs,Eskilstuna,Katrineholm,Gnesta,Nyköping",Värnamo,0482,Varuproducerande kommuner,Flens kommun
Dalarnas län,Orsa,"Rättvik,Härjedalen,Mora,Ljusdal",Skövde,2034,Kommuner i tätbefolkad region,Orsa kommun
Kalmar län,Kalmar,"Emmaboda,Nybro,Mönsterås,Torsås",Malmö,0880,Förortskommuner till storstäderna,Kalmar kommun
Örebro län,Lindesberg,"Nora,Hällefors,Örebro,Ljusnarsberg,Smedjebacken,Skinnskatteberg,Köping,Arboga",Göteborg,1885,Förortskommuner till storstäderna,Lindesbergs kommun
Västerbottens län,Norsjö,"Arvidsjaur,Vindeln,Malå,Lycksele,Skellefteå",Trollhättan,2417,Pendlingskommuner,Norsjö kommun
Västerbottens län,Vindeln,"Norsjö,Bjurholm,Lycksele,Skellefteå,Umeå,Vännäs",Luleå,2404,Kommuner i glesbefolkad region,Vindelns kommun
Stockholms län,Vallentuna,"Upplands Väsby,Sigtuna,Österåker,Norrtälje,Täby",Dorotea,0115,Turism- och besöksnäringskommuner,Vallentuna kommun
Blekinge län,Karlshamn,"Olofström,Sölvesborg,Ronneby,Tingsryd",Malmö,1082,Förortskommuner till storstäderna,Karlshamns kommun
Västra Götalands län,Kungälv,"Stenungsund,Göteborg,Ale,Lilla Edet",Malmö,1482,Kommuner i tätbefolkad region,Kungälvs kommun
Västra Götalands län,Götene,"Skara,Mariestad,Lidköping,Skövde",Vetlanda,1471,Varuproducerande kommuner,Götene kommun
Gävleborgs län,Sandviken,"Heby,Sala,Ockelbo,Hofors,Gävle,Avesta,Falun",Örebro,2181,Större städer,Sandvikens kommun
Dalarnas län,Borlänge,"Ludvika,Leksand,Gagnef,Falun,Säter",Stockholm,2081,Kommuner i tätbefolkad region,Borlänge kommun
Västra Götalands län,Skövde,"Götene,Skara,Mariestad,Töreboda,Tibro,Hjo,Falköping,Tidaholm",Västerås,1496,Pendlingskommuner,Skövde kommun
Jämtlands län,Åre,"Berg,Krokom",Stockholm,2321,Förortskommuner till större städer,Åre kommun
Stockholms län,Österåker,"Vallentuna,Norrtälje,Täby,Vaxholm",Karlskoga,0117,Pendlingskommuner,Österåkers kommun
Västra Götalands län,Öckerö,Göteborg,Skövde,1407,Kommuner i tätbefolkad region,Öckerö kommun
Stockholms län,Solna,"Sollentuna,Sundbyberg,Stockholm,Danderyd",Malung,0184,Turism- och besöksnäringskommuner,Solna stad
Norrbottens län,Arvidsjaur,"Norsjö,Malå,Sorsele,Piteå,Skellefteå,Älvsbyn,Jokkmokk,Arjeplog",Stockholm,2505,Förortskommuner till storstäderna,Arvidsjaurs kommun
Östergötlands län,Valdemarsvik,"Västervik,Söderköping,Åtvidaberg",Sorsele,0563,Glesbygdkommuner,Valdemarsviks kommun
Uppsala län,Älvkarleby,"Tierp,Gävle",Stockholm,0319,Förortskommuner till storstäderna,Älvkarleby kommun
Norrbottens län,Kalix,"Luleå,Haparanda,Övertorneå,Överkalix",Malmö,2514,Förortskommuner till större städer,Kalix kommun
Norrbottens län,Överkalix,"Luleå,Boden,Gällivare,Övertorneå,Kalix,Pajala",Årjäng,2513,Glesbygdkommuner,Överkalix kommun
Stockholms län,Nynäshamn,"Botkyrka,Haninge",Borås,0192,Kommuner i tätbefolkad region,Nynäshamns kommun
Stockholms län,Tyresö,"Nacka,Stockholm,Huddinge,Haninge",Östersund,0138,Turism- och besöksnäringskommuner,Tyresö kommun
Västra Götalands län,Åmål,"Säffle,Bengtsfors,Mellerud,Årjäng",Stockholm,1492,Förortskommuner till storstäderna,Åmåls kommun
Skåne län,Hörby,"Eslöv,Hässleholm,Kristianstad,Tomelilla,Höör,Sjöbo",Kristianstad,1266,Kommuner i tätbefolkad region,Hörby kommun
Värmlands län,Eda,"Arvika,Årjäng",Stockholm,1730,Förortskommuner till större städer,Eda kommun
Värmlands län,Munkfors,"Sunne,Forshaga,Hagfors",Lidköping,1762,Varuproducerande kommuner,Munkfors kommun
Västra Götalands län,Ale,"Kungälv,Göteborg,Alingsås,Lerum,Trollhättan,Lilla Edet",Stockholm,1440,Förortskommuner till storstäderna,Ale kommun
Västra Götalands län,Tibro,"Töreboda,Karlsborg,Skövde,Hjo",Söderhamn,1472,Kommuner i glesbefolkad region,Tibro kommun
Värmlands län,Storfors,"Karlstad,Kristinehamn,Degerfors,Karlskoga,Hällefors,Filipstad",Mora,1760,Kommuner i glesbefolkad region,Storfors kommun
Stockholms län,Järfälla,"Upplands Väsby,Upplands-Bro,Sollentuna,Stockholm",Kristianstad,0123,Pendlingskommuner,Järfälla kommun
Hallands län,Kungsbacka,"Mölndal,Göteborg,Mark,Varberg,Härryda",Malmö,1384,Pendlingskommuner,Kungsbacka kommun
Skåne län,Ängelholm,"Helsingborg,Laholm,Örkelljunga,Klippan,Åstorp,Båstad",Stockholm,1292,Förortskommuner till storstäderna,Ängelholms kommun
Gävleborgs län,Hofors,"Sandviken,Avesta,Falun,Säter,Hedemora",Blekinge,2104,Varuproducerande kommuner,Hofors kommun
Kronobergs län,Ljungby,"Laholm,Hylte,Halmstad,Alvesta,Älmhult,Markaryd,Värnamo,Gislaved",Göteborg,0781,Pendlingskommuner,Ljungby kommun
Dalarnas län,Leksand,"Rättvik,Mora,Vansbro,Gagnef,Falun,Borlänge",Halmstad,2029,Större städer,Leksands kommun
Västra Götalands län,Orust,"Stenungsund,Uddevalla,Tjörn,Lysekil",Karlstad,1421,Förortskommuner till större städer,Orust kommun
