county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Södermanlands län,Flen,"Strängnäs kommun,Eskilstuna kommun,Katrineholms kommun,Gnesta kommun,Nyköpings kommun",Värnamo,0482,Varuproducerande kommuner,Flens kommun
Dalarnas län,Orsa,"Rättviks kommun,Härjedalens kommun,Mora kommun,Ljusdals kommun",Skövde,2034,Kommuner i tätbefolkad region,Orsa kommun
Kalmar län,Kalmar,"Emmaboda kommun,Nybro kommun,Mönsterås kommun,Torsås kommun",Malmö,0880,Förortskommuner till storstäderna,Kalmar kommun
Örebro län,Lindesberg,"Nora kommun,Hällefors kommun,Örebro kommun,Ljusnarsbergs kommun,Smedjebackens kommun,Skinnskattebergs kommun,Köpings kommun,Arboga kommun",Göteborg,1885,Förortskommuner till storstäderna,Lindesbergs kommun
Västerbottens län,Norsjö,"Arvidsjaurs kommun,Vindelns kommun,Malå kommun,Lycksele kommun,Skellefteå kommun",Trollhättan,2417,Pendlingskommuner,Norsjö kommun
Västerbottens län,Vindeln,"Norsjö kommun,Bjurholms kommun,Lycksele kommun,Skellefteå kommun,Umeå kommun,Vännäs kommun",Luleå,2404,Kommuner i glesbefolkad region,Vindelns kommun
Stockholms län,Vallentuna,"Upplands Väsby kommun,Sigtuna kommun,Österåkers kommun,Norrtälje kommun,Täby kommun",Dorotea,0115,Turism- och besöksnäringskommuner,Vallentuna kommun
Blekinge län,Karlshamn,"Olofströms kommun,Sölvesborgs kommun,Ronneby kommun,Tingsryds kommun",Malmö,1082,Förortskommuner till storstäderna,Karlshamns kommun
Västra Götalands län,Kungälv,"Stenungsunds kommun,Göteborgs stad,Ale kommun,Lilla Edets kommun",Malmö,1482,Kommuner i tätbefolkad region,Kungälvs kommun
Västra Götalands län,Götene,"Skara kommun,Mariestads kommun,Lidköpings kommun,Skövde kommun",Vetlanda,1471,Varuproducerande kommuner,Götene kommun
Gävleborgs län,Sandviken,"Heby kommun,Sala kommun,Ockelbo kommun,Hofors kommun,Gävle kommun,Avesta kommun,Falu kommun",Örebro,2181,Större städer,Sandvikens kommun
Dalarnas län,Borlänge,"Ludvika kommun,Leksands kommun,Gagnefs kommun,Falu kommun,Säters kommun",Stockholm,2081,Kommuner i tätbefolkad region,Borlänge kommun
